,store_id,date,demand,sell_price,ID
0,CA_1,2011-01-30,6.0,3.97,FOODS_1_024
1,CA_1,2011-02-06,12.0,3.97,FOODS_1_024
2,CA_1,2011-02-13,19.0,3.97,FOODS_1_024
3,CA_1,2011-02-20,16.0,3.97,FOODS_1_024
4,CA_1,2011-02-27,11.0,3.97,FOODS_1_024
5,CA_1,2011-03-06,21.0,3.97,FOODS_1_024
6,CA_1,2011-03-13,13.0,3.97,FOODS_1_024
7,CA_1,2011-03-20,10.0,3.97,FOODS_1_024
8,CA_1,2011-03-27,20.0,3.97,FOODS_1_024
9,CA_1,2011-04-03,13.0,3.97,FOODS_1_024
10,CA_1,2011-04-10,8.0,3.97,FOODS_1_024
11,CA_1,2011-04-17,21.0,3.97,FOODS_1_024
12,CA_1,2011-04-24,25.0,3.97,FOODS_1_024
13,CA_1,2011-05-01,8.0,3.97,FOODS_1_024
14,CA_1,2011-05-08,10.0,3.97,FOODS_1_024
15,CA_1,2011-05-15,6.0,3.97,FOODS_1_024
16,CA_1,2011-05-22,9.0,3.97,FOODS_1_024
17,CA_1,2011-05-29,15.0,3.97,FOODS_1_024
18,CA_1,2011-06-05,7.0,3.97,FOODS_1_024
19,CA_1,2011-06-12,7.0,3.97,FOODS_1_024
20,CA_1,2011-06-19,8.0,3.97,FOODS_1_024
21,CA_1,2011-06-26,31.0,3.97,FOODS_1_024
22,CA_1,2011-07-03,20.0,3.97,FOODS_1_024
23,CA_1,2011-07-10,29.0,3.97,FOODS_1_024
24,CA_1,2011-07-17,19.0,3.97,FOODS_1_024
25,CA_1,2011-07-24,18.0,3.97,FOODS_1_024
26,CA_1,2011-07-31,13.0,3.97,FOODS_1_024
27,CA_1,2011-08-07,6.0,4.19,FOODS_1_024
28,CA_1,2011-08-14,8.0,4.74,FOODS_1_024
29,CA_1,2011-08-21,10.0,4.74,FOODS_1_024
30,CA_1,2011-08-28,4.0,4.74,FOODS_1_024
31,CA_1,2011-09-04,4.0,4.74,FOODS_1_024
32,CA_1,2011-09-11,8.0,4.74,FOODS_1_024
33,CA_1,2011-09-18,14.0,4.74,FOODS_1_024
34,CA_1,2011-09-25,9.0,4.74,FOODS_1_024
35,CA_1,2011-10-02,9.0,4.74,FOODS_1_024
36,CA_1,2011-10-09,5.0,4.74,FOODS_1_024
